Species ID,Red List status,Population trend,Extracted population decline,Population decline years,Population decline details,gen_length_d
181359,DD,unknown,20%-25%,45 years,A rangewide decline in population size of 20-25% over three generations is plausible given the nature and scale of threats described by Crespo et al. (2010)   ..........GENERATION LENGTH - 15.6 years,NA
82031425,VU,decreasing,≥30%,1960-2035,"""We can infer a population reduction of greater than or equal to 30% over
 three generations (75 years), from approximately 1960 in the past to 
2035 in the future.""",NA
82031633,EN,decreasing,63% decline in three generations,NA,NA,NA
82031667,VU,decreasing,10%≤,"over a period of 3 generations (about 75 years, assuming generation length is similar to that estimated for S. chinensis in Moore 2015).","it is likely that a continuing decline of at least 10% will occur over a period of 3 generations (about 75 years, assuming generation length is similar to that estimated for S. chinensis in Moore 2015).",NA
20425,CR,2017,"the available information suggests that the species’ total abundance is below 3,000 individuals (Collins 2015). If it is assumed that 50% of these are mature (following Taylor et al. 2007), the likely number of mature animals in the total population is likely less than 1,500.                          < 3000 individuals, <1500 mature",NA,NA,NA
20468,NT,decreasing,20-25%,in the past 12 years,an estimated decline of 20–25% in the past 12 years (estimated generation length = 4 years),1559.119689
20478,LC,decreasing,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
136490,LC,unknown,NA,NA,unlikely to be declining.,NA
20472,VU,decreasing,>30%,10 years,NA,NA
20484,LC,unknown,>30%,10 years,declining more than 30% in ten years or three generations,NA
20492,NT,decreasing,Perhaps ~20%,over the last 10 years,"over the last ten years the rate of decline has slowed (perhaps to ca. 20%, but no data are currently available to support this figure).",NA
20496,NT,decreasing,20-25%,Last ten years,"population declines estimated at 20-25% over the last ten years as a result of habitat conversion for agriculture, especially in central Anatolia",NA
20521,LC,unknown,NA,NA,unlikely to be declining.,NA
20639,CR,decreasing,>80%,"over three generations (i.e., 15 years) (the last five years and next ten years)","a suspected population decline in excess of 80% over three generations (i.e., 15 years) (the last five years and next ten years)",NA
136443,CR,decreasing,>80%,Last 10 years,more than 80% from the rate and extent of habitat loss in the last 10 years,NA
41636,VU,decreasing,30%≤,over the last three generations (13-14 years) and which are considered likely to continue for the next three generations,at least 30% over the last three generations (13-14 years) and which are considered likely to continue for the next three generations,NA
41637,VU,decreasing,>30%,over the past three generations (taken as 15 years),ongoing population reduction suspected to be greater than 30% over the past three generations (taken as 15 years),NA
136625,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
20718,LC,stable,NA,NA,it is not believed to be in decline.,NA
20729,LC,unknown,<30%,69 years (three generations),"The northeastern population in the ETP declined 76% within the last three generations (69 years), but that decline has ceased and was not large enough to constitute a global decline of 30%.",NA
45093,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
20740,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
20890,VU,decreasing,>30%,ongoing population decline of more than 30% over a ten year window of time (5 years in the past and 5 in the future),NA,NA
20950,LC,unknown,NA,NA,unlikely to be declining,NA
20951,LC,unknown,NA,*,unlikely to be declining.,NA
21100,NT,decreasing,<30%,15 year time period,likely in significant decline (but probably at a rate of less than 30% over a 15 year time period) due to widespread forest loss (and possibly hunting) throughout much of its range on Sulawesi,NA
21101,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
21148,EN,decreasing,NA,NA,the extent of its forest habitat is continuing to decline,NA
21177,NT,decreasing,NA,NA,"Although still locally common in some areas, it is in decline due to habitat attrition and heavy hunting pressure in many areas (Caldecott et al. 1993, Oliver 1992, Esselstyn et al. 2004).",NA
41772,VU,decreasing,>30%,last three generations (taken as 21 years),believed to be more than 30% over the last three generations (taken as 21 years),NA
21175,CR,decreasing,>80%,over a period of three generations (estimated to be about 21 years),more than 80% over a period of three generations (estimated to be about 21 years),NA
41773,NT,decreasing,<30%,over ten years,at a rate of less than 30% over ten years,NA
21176,VU,decreasing,>30%,a period of three generations (estimated to be about 21 years),more than 30% over a period of three generations (estimated to be about 21 years),NA
21174,EN,decreasing,> 50%,last three generations (approximately 18 years),"Listed as Endangered because of a serious population decline, estimated to be more than 50% over the last three generations (approximately 18 years)",NA
21185,LC,stable,NA,NA,not likely to be declining,NA
41296,LC,decreasing,Barbour et al. 2001,Scheibe and Henson 2003).,NA,NA
41301,NT,decreasing,≥30%,until 2014,It is suspected that population decline will be greater than or equal to 30% until 2014,NA
21212,VU,decreasing,>50%,since 1994,It is suspected that a population size reduction of greater than 50% has occurred since 1994.,NA
39779,EN,decreasing,50%≤,over the past 40 years (three generations),the species has declined by at least 50% over the past 40 years (three generations),NA
21260,NT,unknown,NA,NA,populations appear to be stable in most of its range.,NA
41312,LC,stable,NA,NA,not thought to be in decline.,NA
21314,LC,stable,NA,NA,unlikely to be declining.,NA
21316,LC,stable,NA,NA,not thought to be facing any major threats.,NA
41478,LC,unknown,NA,NA,not believed to be declining,NA
41480,LC,unknown,NA,NA,not believed to be declining,NA
20222,DD,unknown,This rat is rare,it is known from just seven specimens (R. Timm and F. Reid pers. comm.).,NA,NA
21452,NT,decreasing,3  generations,>10%,"some population declines have been observed.           Current declines, however, are likely minimal relative to 10% in three generations in the future",NA
21471,EN,decreasing,>50%,past three generation (33 years),"Population declines are estimated to be greater than 50% in the past three generation (33 years)...It is suspected that in next three generations the population will decline by a further 70% from loss of habitat, fragmentation and hunting pressure.",4015
21472,EN,2016,"2499 mature individuals in website......      Total ""Furthermore there are estimated to be less than 2,500 mature individuals
 remaining, with an estimated continuing decline of at least 20% in the 
next two generations (24 years).""",Total >50%,1982-2018,4015
21473,EN,2016,"less than 2,500 mature individuals remaining, with an estimated continuing decline of at least 20% in the next 2 generations (22 years)",>50%,in the past 3 generations (33 years),4015
21474,VU,decreasing,>30%,in the past 3 generations (33 years),ongoing populations reduction estimated to be slightly greater than a 30% in the past 3 generations (33 years),NA
21492,NT,decreasing,<30%,over the last three generations (approximately 20 years),"estimated significant decline over the last three generations (approximately 20 years), but less than 30%",NA
179234,CR,decreasing,80%≤,the past three generations,a suspected reduction in population size of at least 80% over the past three generations,2190
41778,VU,decreasing,~30%,in the past three generations (18 years),an ongoing population reduction estimated to be close to 30% in the past three generations (18 years),NA
21770,LC,decreasing,NA,NA,unlikely to be declining at nearly the rate required,NA
136413,LC,decreasing,NA,NA,unlikely to be declining,NA
21788,VU,decreasing,>30%,over the last 10 years,more than 30% over the last 10 years,NA
21799,LC,stable,NA,NA,unlikely to be declining.,NA
21839,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a threat category.,NA
199836,NT,decreasing,NA,NA,a population decline (20-25%) suspected to occur over the next ten years,NA
136653,VU,decreasing,>30%,"over the past 10 years, and/or would be met over the next 10 years","suspected to be more than 30% over the past 10 years, and/or would be met over the next 10 years",NA
21867,NT,decreasing,20%,over 10 years,a decline in the order of 20% over 10 years,NA
40520,NT,decreasing,20-25%,in the past ten years,"a suspected decline in the past ten years of 20-25% in population, due to habitat destruction (i.e., replacement of native vegetation for crops, mainly soybean plantations) and decline of area of occupancy",NA
40571,LC,stable,NA,NA,population appears to be stable.,NA
21874,VU,decreasing,>30%,"last three generations (i.e., 15-20 years","suspected to exceed 30% over the last three generations (i.e., 15-20 years",NA
21870,VU,decreasing,30%,"last three generations (i.e., 15-20 years",a 30% population reduction over a 15-20 year period (three generations).,NA
12813,LC,stable,NA,NA,unlikely to be declining,NA
21975,VU,decreasing,>30%,over the last 10-15 years,a population decline—estimated to be more than 30% over the last 10-15 years,NA
22034,VU,decreasing,>30%,36 years (three generations),"estimated at more than 30% over the past 36 years (3 generations, given a generation length of 12 years)",NA
22035,NT,decreasing,30%,over three generations (approximately 30 years),"decline, probably at a rate of less than 30% over three generations (approximately 30 years),",NA
39853,EN,decreasing,>50%,past 36 years (3 generations,"at least 50% over the past 36 years (3 generations, given a generation length of 12 years)",4015
22037,EN,2008,"There is an estimated population of less than 1,500 individuals in India and around 4,000 individuals in Bhutan, with less than 2,500 mature individuals globally (J. Das pers. comm.)  .......... 6500 mature individuals in website(which is odd)",>30%,past 30 years,3650
22044,VU,decreasing,>30%,"over the next 3 generations (36 years, given a generation length of 12 years)","a decline of more than 30% over the next 3 generations (36 years, given a generation length of 12 years)",NA
22040,EN,decreasing,>50%,"over the last three generations (36 years, given a generation length of 12 years)","more than 50% over the last three generations (36 years, given a generation length of 12 years)",NA
22041,VU,decreasing,30%<,20 years,".probably declined by more than 30% in the last 20 years, making it very vulnerable in its extremely fragmented locations (J. Das, A. Kumar and M. Singh pers. comm.; Molur et al. 2003) and it is predicted to decline at the same rate in the next 20 years.........a decline of more than 30% over the last 3 generations (36 years, given a
 generation length of 12 years)...is predicted to decline at the same 
rate over the next three generations...",NA
22045,CR,decreasing,≥80%,"past three generations (36 years, given a generation length of 12 years)","declined by at least 80% over the past three generations (36 years, given a generation length of 12 years)",4015
39869,EN,decreasing,50%≤,"past three generations (36 years, given a generation length of 12 years)","declined by at least 50% over the past three generations (36 years, given a generation length of 12 years)",NA
22042,EN,decreasing,>50%,"last 3 generations (36 years, given a generation length of 12 years)","it is believed to have undergone a decline of more than 50% over the last 3 generations (36 years, given a generation length of 12 years) due to a combination of habitat loss and hunting and is predicted to decline at the same rate over the next three generations",NA
22046,EN,decreasing,20%,14 years,continuing decline of at least 20% over 14 years,2190
44172,VU,decreasing,>10%,three generations (24 years),The rate of decline is predicted to exceed 10% over three generations (24 years),2592.853829
22047,NT,decreasing,>20%,24 years (three generations),The level of decline is estimated to have reached more than 20% over 24 years (three generations),2555
22053,NT,decreasing,>20%,13 years (three generations),"he level of decline is suspected to have reached at least 20% over a period of 13 years (three generations),",2555
22050,LC,decreasing,<20%,over 14 years (three generations),this decline overall is estimated to remain below 20% over 14 years (three generations),2746.500967
15588,LC,stable,NA,NA,unlikely to be declining.,NA
22066,VU,decreasing,>30%,in the next 30 years and also in a 30-year time window overlapping the present (2000–2030),decline of >30% for each of the five range countries in the next 30 years and also in a 30-year time window overlapping the present (2000–2030).,3650
81081036,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
22102,VU,decreasing,>30%,within the next three generations (assuming a generation length of 25 years),decline of at least 30% within the next three generations (assuming a generation length of 25 years),NA
22103,VU,decreasing,>10% (for decline rate of 20% of subspecies see AI),over the course of three generations (given a generation time of ~20 years),"expected to decline at a rate of at least 10% over the course of three generations (given a generation time of ~20 years)...[Uri-for each of two subspecies:""decline by at least 20% over the next two generations (estimated at ~40 years)""",NA
22104,VU,2015,NA,30%≤ (for 10%≤ in three generations in the future see column  AI),within a 90 year three generation period (a single generation time of up to 30 years),NA
40557,LC,stable,NA,NA,population is stable.,NA
40585,LC,decreasing,partial-in parts of New South Wales 90%,in last three generations,"In the iron bark forest of the Brigalow belt bioregion of New South Wales, there has been 90% decline in the last 15 years.",NA
22297,NT,decreasing,~30%,last 12 years,the population is declining at a rate suspected to close to 30% over the last 12 years (three generations),NA
22782,LC,stable,NA,NA,unlikely to be declining.,NA
136773,CR,decreasing,>80%,10 years,"drastic population decline, estimated to be more than 80% over a ten year period (5 years in the past and 5 in the future)",NA
22801,LC,stable,NA,NA,unlikely to be declining.,NA
41688,LC,stable,NA,NA,All subpopulation ranges have been relatively stable or slightly expanding,5976.266667
22823,VU,unknown,>30%,NA,"In light of the significant probability, across scenarios, of a reduction in mean global population size greater than 30%, and the relatively low probability of a reduction greater than 50%",5475
22839,VU,stable,>30%,in the last three generations,a population decline of over 30% in the last three generations,NA
22837,LC,unknown,NA,NA,unlikely to be declining,NA
88151904,LC,unknown,NA,NA,unlikely to be declining.,NA
22920,CR,decreasing,≥80%,"over thee generations (24 years, assuming a generation length of 8 years)","A population reduction of ≥80% is suspected to be met over thee generations (24 years, assuming a generation length of 8 years)",NA
22918,CR,decreasing,≥80%,over a period of 21 years (three generations),suspected to have undergone a population decline of ≥80% over a period of 21 years (three generations),NA
22933,LC,unknown,NA,NA,unlikely to be declining,NA
7913,LC,stable,NA,NA,not believed to be declining.,NA
7919,LC,stable,NA,NA,not known to be declining.,NA
41707,EN,decreasing,>50%,over three generations (taken to be 15 years) in the past and the future,"""Large-spotted Civet is listed as Endangered because of an ongoing and projected future population decline, of more than 50% over three generations (taken to be 15 years) in the past and the future""",NA
41709,LC,decreasing,NA,NA,overall global decline rate is low,NA
41710,LC,stable,NA,NA,Overall the population is likely to be relatively stable.,NA
29680,VU,decreasing,NA,30%≤,in the last ten years (slightly longer than three generations,NA
23050,LC,stable,NA,NA,at present no evidence to suggest any range-wide decline.,NA
23059,LC,stable,NA,NA,"The historic range of the Swift Fox is estimated to have been approximately 1.5 million km². Swift Fox populations began to recover gradually as of the 1950s in the central portions of their range. Reintroductions have been attempted in Alberta/Saskatchewan, Canada, resulting in restorations to approximately 3% of the national historic range.   Reintroductions have also helped to re-establish populations in South Dakota. As of 2009, Swift Foxes exist in 44% of their historic range in the United States.",NA
23115,EN,decreasing,≥50%,over the last ten years,a population reduction of at least 50% over the last ten years is suspected,NA
23137,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
23178,NT,decreasing,~20%,over three generations (suspected to be around 12 years),a decline in the order of 20% over three generations (suspected to be around 12 years).,NA
136552,VU,decreasing,>30%,"last three generations (i.e., the last 45-50 years)","suspected continuing population decline of at least 30% over the last three generations (i.e., the last 45-50 years)",NA
23179,CR,decreasing,>80%,"last three generations (i.e., the last 45-50 years)","population decline of at least 80% over the last three generations (i.e., the last 45-50 years)",NA
41666,LC,increasing,NA,NA,recent censuses suggest the population is still increasing.,NA
41668,EN,decreasing,49-54%,1984-2014,(49-54%) over the last three generations (1984-2014),NA
23321,LC,stable,NA,NA,unlikely to be declining.,NA
23325,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
23326,VU,decreasing,>30%,"over the last 10 years, and will continue to decline by >30% over the next 10 years","It is likely that the species has declined by at least 30% over the last 10 years, and will continue to decline by >30% over the next 10 years",624.3996409
23324,CR,decreasing,NA,since 1999,It has shown a marked decline since 1999 (of > 80%) at the only long-term monitoring site,639.6318318
